"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL5095224";"ELIAPIXANT";"BAY 1817080|BAY-1817080|BAY1817080|ELIAPIXANT";"BAY 1817080|BAY-1817080|BAY1817080";"2.0";"";"";"2021";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Cc1cnc(-c2cc(O[C@@H]3CCOC3)cc(C(=O)N[C@H](C)c3cnc(C(F)(F)F)nc3)c2)s1"
"CHEMBL1742993";"BLOSOZUMAB";"BLOSOZUMAB|LY-2541546|LY2541546";"LY-2541546|LY2541546";"2.0";"";"'-mab'";"2011";"monoclonal antibodies";"'-mab(-mab)'";"";"";"";"";"";"";"";"None";"6:Antibody";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL93077";"ADRAFINIL";"ADRAFINIL|OLMIFON";"";"-1.0";"";"";"";"";"";"";"N06BX17";"N06BX - Other psychostimulants and nootropics";"N06B - PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"0";"0";"0";"0";"Unknown";"O=C(C[S+]([O-])C(c1ccccc1)c1ccccc1)NO"
"CHEMBL1651908";"CYMARIN";"CYMARIN|CYMARINE|Cymarin|K-STROPHANTHIN-.ALPHA.|K-STROPHANTHIN-ALPHA|NSC-7522";"NSC-7522";"-1.0";"";"";"";"";"";"";"C01AC03";"C01AC - Strophanthus glycosides";"C01A - CARDIAC GLYCOSIDES";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CO[C@H]1C[C@H](O[C@H]2CC[C@]3(OC)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)O[C@H](C)[C@H]1O"
"CHEMBL4297827";"SGN-CD352A";"PBD DIMER ADC SGN-CD352A|PBD-BASED ANTI-CD352|SGN CD352A|SGN-CD352A";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"-1:Unknown";"1";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL2104984";"SODELGLITAZAR";"GW-677954|GW677954|SODELGLITAZAR|Sodelglitazar";"GW-677954|GW677954";"2.0";"";"'-glitazar'";"2005";"peroxisome proliferator activiating receptor (PPAR) agonists (not thiazolidene derivatives)";"'-glitazar(-glitazar)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O"
"CHEMBL2105639";"DIRUCOTIDE";"DIRUCOTIDE|MBP-8298|MBP8298|SF328";"MBP-8298|MBP8298|SF328";"3.0";"";"'-tide'";"2008";"peptides";"'-tide(-tide)'";"";"";"";"";"";"";"";"None";"5:Oligopeptide";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC[C@H](C)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)C(C)C"
"CHEMBL2108525";"POLYFEROSE";"IRON CARBOHYDRATE COMPLEX|Jefron|POLYFEROSE";"";"3.0";"";"";"1962";"";"";"";"";"";"";"";"";"Hematinic";"None";"10:Polymer";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL315838";"ENCAINIDE";"ENCAINIDE";"";"4.0";"";"";"1978";"";"";"1986";"C01BC08";"C01BC - Antiarrhythmics, class Ic";"C01B - ANTIARRHYTHMICS, CLASS I AND III";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Withdrawn";"COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1"
"CHEMBL566757";"DAPORINAD";"APO 866|APO-866|APO866|DAPORINAD|Daporinad|FK 866|FK-866|K 22.175";"APO 866|APO-866|APO866|FK 866|FK-866|K 22.175";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1"
